工单编号,工单类型,问题分类,标签,标题,主要内容,工单状态,来电人,来电人电话/账号,被反映区,被反映街乡镇,办理结果,回复内容,处理受理方式,办结时间,企业名称,是否解决,是否满意,工单性质,村/社区,小区点位
热线-240511-000013,求助,医疗卫生->医疗服务->挂号与退费,营商环境,关于西潞街道某农贸市场的情况反映,诉求人反映，房山区西潞街道范围内某农贸市场涉及挂号与退费问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,郑某,182××××,房山区,西潞街道,,,系统转派,2024-10-26 15:31:37,北京某商贸有限公司,部分解决,基本满意,转办,某居委会,某农贸市场
热线-241008-000014,投诉,住房城乡建设->物业管理->电梯故障,七有五性,电梯故障相关诉求,诉求人反映，房山区南窖乡范围内某医院西门涉及电梯故障问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,李某,182××××,房山区,南窖乡,,工作人员联系诉求人并开展核实。经与南窖乡相关单位沟通，针对“电梯故障”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2025-01-22 16:35:53,某物业公司,部分解决,满意,主办,某某社区,某医院西门
热线-241114-000015,咨询,生态环境->噪声->施工噪声,控烟,关于迎风街道某写字楼楼道的情况反映,市民反映，房山区迎风街道某写字楼楼道附近存在施工噪声相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,孙某,185××××,房山区,迎风街道,已转属地处理，聚焦“施工噪声”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与迎风街道相关单位沟通，针对“施工噪声”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,现场,2024-10-04 18:16:03,某装饰工程有限公司,未解决,不满意,协办,某村,某写字楼楼道
热线-240703-000016,求助,公共安全->消防安全->通道占用,七有五性,关于张坊镇某商圈地下停车场的情况反映,诉求人反映，房山区张坊镇范围内某商圈地下停车场涉及通道占用问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,郑某,151××××,房山区,张坊镇,已转联合工作组处理，聚焦“通道占用”问题开展核查与回访。,,联合办理,2024-12-11 10:27:14,,未解决,不满意,协办,不详,某商圈地下停车场
热线-240910-000017,求助,生态环境->噪声->施工噪声,,施工噪声相关诉求,来电人表示，其在房山区东风街道辖区某写字楼楼道附近发现噪声方面施工噪声情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,陈某,132××××,房山区,东风街道,,工作人员联系诉求人并开展核实。经与东风街道相关单位沟通，针对“施工噪声”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,系统转派,,,未解决,基本满意,主办,某村,某写字楼楼道
热线-240114-000018,咨询,住房城乡建设->物业管理->电梯故障,控烟,请求协调处理电梯故障问题,市民反映，房山区霞云岭乡某写字楼楼道附近存在电梯故障相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,周某,151××××,房山区,霞云岭乡,已转行业主管部门处理，聚焦“电梯故障”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与霞云岭乡相关单位沟通，针对“电梯故障”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,系统转派,,,部分解决,不满意,转办,某小区业委会,某写字楼楼道
热线-241220-000019,控烟,,"多样性,七有五性",写字楼楼道吸烟,市民反映，房山区南窖乡某小区及周边公共卫生间存在吸烟问题，影响公共环境，来电反映控烟管理问题。,,李某,151××××,房山区,南窖乡,,,系统转派,,,,,协办,某某社区,某小区及周边
热线-240822-000020,咨询,教育->校外培训->预收费纠纷,营商环境,请求协调处理预收费纠纷问题,市民反映，房山区佛子庄乡某村主街附近存在预收费纠纷相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,吴某,130××××,房山区,佛子庄乡,已转属地处理，聚焦“预收费纠纷”问题开展核查与回访。,,系统转派,2024-01-16 15:33:39,北京某工程有限公司,未解决,基本满意,协办,某居委会,某村主街
热线-240901-000021,诉求,科体文宣->文化->文物保护,"多样性,七有五性",请求协调处理文物保护问题,市民称，房山区良乡镇某商圈地下停车场附近近期出现与文物保护相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,陈某,130××××,房山区,良乡镇,已转行业主管部门处理，聚焦“文物保护”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与良乡镇相关单位沟通，针对“文物保护”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,现场,2024-11-03 09:07:52,北京某工程有限公司,部分解决,未评价,主办,某村,某商圈地下停车场
热线-250124-000022,咨询,劳动和社会保障->社会保险->参保缴费,接诉即办,投诉社会保险领域参保缴费事项,诉求人反映，房山区十渡镇范围内十渡景区入口沿线涉及参保缴费问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,陈某,166××××,房山区,十渡镇,已转联合工作组处理，聚焦“参保缴费”问题开展核查与回访。,,系统转派,2024-12-20 12:53:59,某劳务公司,未解决,不满意,主办,不详,十渡景区入口沿线
热线-240807-000023,咨询,住房城乡建设->物业管理->停车管理,营商环境,投诉物业管理领域停车管理事项,诉求人反映，房山区向阳街道范围内某路口人行横道涉及停车管理问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,已转派,李某,198××××,房山区,向阳街道,,工作人员联系诉求人并开展核实。经与向阳街道相关单位沟通，针对“停车管理”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,系统转派,2025-03-13 19:11:05,某物业公司,未解决,基本满意,转办,不详,某路口人行横道
热线-240824-000024,投诉,教育->校外培训->预收费纠纷,,投诉校外培训领域预收费纠纷事项,来电人表示，其在房山区佛子庄乡辖区某餐馆门前区域附近发现校外培训方面预收费纠纷情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,办理中,孙某,139××××,房山区,佛子庄乡,已转行业主管部门处理，聚焦“预收费纠纷”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与佛子庄乡相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,系统转派,,北京某健身休闲有限公司,部分解决,不满意,主办,某某社区,某餐馆门前区域
热线-240629-000025,求助,教育->校外培训->预收费纠纷,,请求协调处理预收费纠纷问题,市民称，房山区蒲洼乡某写字楼楼道附近近期出现与预收费纠纷相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,赵某,130××××,房山区,蒲洼乡,已转行业主管部门处理，聚焦“预收费纠纷”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与蒲洼乡相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-01-01 09:42:53,,解决,满意,转办,不详,某写字楼楼道
热线-240611-000026,咨询,劳动和社会保障->拖欠工资->工程建设领域,控烟,请求协调处理工程建设领域问题,市民反映，房山区琉璃河镇京深路琉璃河段附近存在工程建设领域相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,陈某,155××××,房山区,琉璃河镇,已转行业主管部门处理，聚焦“工程建设领域”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与琉璃河镇相关单位沟通，针对“工程建设领域”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,联合办理,,北京某健身休闲有限公司,未解决,不满意,主办,不详,京深路琉璃河段
热线-240809-000027,求助,城市管理->市政设施->道路破损,七有五性,道路破损相关诉求,诉求人反映，房山区韩村河镇范围内某产业园门口涉及道路破损问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,郑某,139××××,房山区,韩村河镇,已转属地处理，聚焦“道路破损”问题开展核查与回访。,,电话,2024-10-26 09:23:54,某物业公司,未解决,不满意,协办,某居委会,某产业园门口
热线-240731-000028,诉求,生态环境->大气污染->扬尘,,扬尘相关诉求,市民反映，房山区长阳镇某商圈地下停车场附近存在扬尘相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,杨某,188××××,房山区,长阳镇,,工作人员联系诉求人并开展核实。经与长阳镇相关单位沟通，针对“扬尘”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,,2024-01-31 14:07:10,某装饰工程有限公司,未解决,满意,转办,不详,某商圈地下停车场
热线-241012-000029,诉求,医疗卫生->医疗服务->挂号与退费,营商环境,请求协调处理挂号与退费问题,市民反映，房山区琉璃河镇京深路琉璃河段附近存在挂号与退费相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,张某,135××××,房山区,琉璃河镇,,工作人员联系诉求人并开展核实。经与琉璃河镇相关单位沟通，针对“挂号与退费”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2024-10-26 10:33:38,北京某餐饮管理有限公司,解决,未评价,主办,某村,京深路琉璃河段
热线-240904-000030,咨询,市场管理->食品安全->餐饮卫生,七有五性,投诉食品安全领域餐饮卫生事项,诉求人反映，房山区蒲洼乡范围内某公园公厕涉及餐饮卫生问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,办理中,马某,131××××,房山区,蒲洼乡,,工作人员联系诉求人并开展核实。经与蒲洼乡相关单位沟通，针对“餐饮卫生”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,现场,2025-04-06 12:32:09,某装饰工程有限公司,解决,不满意,转办,某某社区,某公园公厕
热线-250408-000031,咨询,城市管理->市政设施->道路破损,七有五性,关于阎村镇某医院西门的情况反映,市民反映，房山区阎村镇某医院西门附近存在道路破损相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,张某,135××××,房山区,阎村镇,已转联合工作组处理，聚焦“道路破损”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与阎村镇相关单位沟通，针对“道路破损”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,现场,,某劳务公司,未解决,未评价,主办,某村党支部,某医院西门
热线-240812-000032,诉求,农业农村->农村道路->路灯与排水,"多样性,七有五性",请求协调处理路灯与排水问题,市民称，房山区新镇街道某农贸市场附近近期出现与路灯与排水相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,已转派,王某,186××××,房山区,新镇街道,已转属地处理，聚焦“路灯与排水”问题开展核查与回访。,,,,北京某餐饮管理有限公司,未解决,未评价,协办,某某社区,某农贸市场
热线-241020-000033,投诉,公共安全->消防安全->通道占用,营商环境,通道占用相关诉求,市民称，房山区窦店镇某餐馆门前区域附近近期出现与通道占用相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,办理中,吴某,133××××,房山区,窦店镇,已转联合工作组处理，聚焦“通道占用”问题开展核查与回访。,,系统转派,,北京某工程有限公司,解决,基本满意,主办,某村,某餐馆门前区域
热线-240326-000034,咨询,劳动和社会保障->拖欠工资->工程建设领域,"多样性,七有五性",工程建设领域相关诉求,市民反映，房山区青龙湖镇青龙湖环湖路附近存在工程建设领域相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,孙某,155××××,房山区,青龙湖镇,已转属地处理，聚焦“工程建设领域”问题开展核查与回访。,,,2024-12-24 20:01:30,北京某商贸有限公司,未解决,满意,协办,不详,青龙湖环湖路
热线-250412-000035,诉求,城市管理->市政设施->道路破损,七有五性,投诉市政设施领域道路破损事项,市民称，房山区佛子庄乡某路口人行横道附近近期出现与道路破损相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,孙某,138××××,房山区,佛子庄乡,已转属地处理，聚焦“道路破损”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与佛子庄乡相关单位沟通，针对“道路破损”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-08-30 18:07:01,某装饰工程有限公司,部分解决,不满意,转办,不详,某路口人行横道
热线-240322-000036,投诉,教育->校外培训->预收费纠纷,七有五性,关于蒲洼乡某学校门口的情况反映,来电人表示，其在房山区蒲洼乡辖区某学校门口附近发现校外培训方面预收费纠纷情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,张某,166××××,房山区,蒲洼乡,,工作人员联系诉求人并开展核实。经与蒲洼乡相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2025-03-03 16:12:00,,解决,不满意,主办,不详,某学校门口
热线-250204-000037,求助,住房城乡建设->物业管理->停车管理,营商环境,投诉物业管理领域停车管理事项,市民反映，房山区周口店镇周口店遗址博物馆周边存在停车管理相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,马某,136××××,房山区,周口店镇,已转属地处理，聚焦“停车管理”问题开展核查与回访。,,现场,,,解决,未评价,协办,某村党支部,周口店遗址博物馆周边
热线-240406-000038,求助,住房城乡建设->物业管理->停车管理,营商环境,请求协调处理停车管理问题,市民称，房山区大安山乡某医院西门附近近期出现与停车管理相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,吴某,166××××,房山区,大安山乡,已转联合工作组处理，聚焦“停车管理”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与大安山乡相关单位沟通，针对“停车管理”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2024-02-29 13:46:06,某物业公司,解决,满意,转办,不详,某医院西门
热线-240608-000039,咨询,住房城乡建设->物业管理->电梯故障,七有五性,电梯故障相关诉求,市民称，房山区向阳街道某产业园门口附近近期出现与电梯故障相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,李某,138××××,房山区,向阳街道,,,联合办理,2024-10-06 14:39:19,,部分解决,不满意,协办,不详,某产业园门口
热线-240521-000040,投诉,市场管理->单用途预付卡->游泳卡,,请求协调处理游泳卡问题,来电人表示，其在房山区向阳街道辖区某产业园门口附近发现单用途预付卡方面游泳卡情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,马某,139××××,房山区,向阳街道,已转属地处理，聚焦“游泳卡”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与向阳街道相关单位沟通，针对“游泳卡”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,2025-04-04 14:20:49,北京某体育发展有限公司,解决,不满意,协办,不详,某产业园门口
热线-250421-000041,求助,劳动和社会保障->社会保险->参保缴费,,关于新镇街道某路口人行横道的情况反映,来电人表示，其在房山区新镇街道辖区某路口人行横道附近发现社会保险方面参保缴费情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,刘某,182××××,房山区,新镇街道,已转联合工作组处理，聚焦“参保缴费”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与新镇街道相关单位沟通，针对“参保缴费”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,电话,2025-04-15 19:24:43,某装饰工程有限公司,未解决,不满意,协办,不详,某路口人行横道
热线-240513-000042,求助,住房城乡建设->物业管理->停车管理,七有五性,投诉物业管理领域停车管理事项,市民称，房山区大石窝镇某路口人行横道附近近期出现与停车管理相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,,杨某,131××××,房山区,大石窝镇,,工作人员联系诉求人并开展核实。经与大石窝镇相关单位沟通，针对“停车管理”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,,某物业公司,解决,满意,主办,不详,某路口人行横道
热线-240802-000043,控烟,,接诉即办,商场卫生间吸烟,市民反映，房山区东风街道某产业园门口某写字楼存在吸烟问题，影响公共环境，来电反映控烟管理问题。,,王某,131××××,房山区,东风街道,,,电话,,,,,主办,不详,某产业园门口
热线-240215-000044,求助,农业农村->农村道路->路灯与排水,接诉即办,投诉农村道路领域路灯与排水事项,来电人表示，其在房山区良乡镇辖区某学校门口附近发现农村道路方面路灯与排水情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,办理中,马某,131××××,房山区,良乡镇,,,系统转派,,北京某健身休闲有限公司,未解决,满意,协办,某村党支部,某学校门口
热线-250203-000045,投诉,生态环境->大气污染->扬尘,七有五性,投诉大气污染领域扬尘事项,诉求人反映，房山区星城街道范围内某餐馆门前区域涉及扬尘问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,,王某,166××××,房山区,星城街道,已转属地处理，聚焦“扬尘”问题开展核查与回访。,,联合办理,2025-01-21 18:10:55,某物业公司,部分解决,不满意,主办,不详,某餐馆门前区域
热线-240612-000046,建议,市场管理->单用途预付卡->游泳卡,,游泳卡相关诉求,诉求人反映，房山区青龙湖镇范围内青龙湖环湖路涉及游泳卡问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,办理中,孙某,158××××,房山区,青龙湖镇,已转联合工作组处理，聚焦“游泳卡”问题开展核查与回访。,,电话,,,未解决,不满意,协办,不详,青龙湖环湖路
热线-240824-000047,建议,科体文宣->文化->文物保护,接诉即办,请求协调处理文物保护问题,市民反映，房山区新镇街道某村主街附近存在文物保护相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,回复完成,孙某,156××××,房山区,新镇街道,已转属地处理，聚焦“文物保护”问题开展核查与回访。,,现场,2024-09-28 09:35:17,某建筑公司,部分解决,不满意,转办,某居委会,某村主街
热线-240220-000048,建议,劳动和社会保障->社会保险->参保缴费,"多样性,七有五性",请求协调处理参保缴费问题,市民称，房山区蒲洼乡某餐馆门前区域附近近期出现与参保缴费相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,杨某,139××××,房山区,蒲洼乡,已转联合工作组处理，聚焦“参保缴费”问题开展核查与回访。,,,2024-10-27 17:43:52,某劳务公司,未解决,满意,主办,某某社区,某餐馆门前区域
热线-241017-000049,建议,交通运输->道路运输->非法营运,"多样性,七有五性",关于张坊镇某学校门口的情况反映,市民反映，房山区张坊镇某学校门口附近存在非法营运相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,,周某,166××××,房山区,张坊镇,,,系统转派,,北京某工程有限公司,未解决,基本满意,转办,某居委会,某学校门口
热线-241116-000050,求助,市场管理->食品安全->餐饮卫生,,餐饮卫生相关诉求,市民称，房山区佛子庄乡某写字楼楼道附近近期出现与餐饮卫生相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,办理中,孙某,133××××,房山区,佛子庄乡,,,,,某建筑公司,解决,不满意,主办,某村,某写字楼楼道
热线-240429-000051,求助,住房城乡建设->物业管理->电梯故障,接诉即办,请求协调处理电梯故障问题,市民反映，房山区佛子庄乡某学校门口附近存在电梯故障相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,赵某,159××××,房山区,佛子庄乡,已转行业主管部门处理，聚焦“电梯故障”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与佛子庄乡相关单位沟通，针对“电梯故障”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,联合办理,,,解决,基本满意,主办,不详,某学校门口
